country,bal_september,bal_ytd,bal_rank,exp_september,exp_ytd,exp_rank,september_cus,ytd_cus
Djibouti,5.435991,65.747638,161,10.601205,90.30601,142,5.173027,24.873076
Mauritania,5.991586,66.372508,162,6.207422,70.39909,155,0.230488,4.154676
Marshall Islands,4.238609,71.467188,163,5.381936,81.038089,148,1.289853,11.033788
Grenada,8.279021,72.705008,164,9.187839,83.833952,146,1.070082,12.796632
St Vincent and the Grenadines,4.41062,75.923049,165,4.667204,79.739602,150,0.271371,4.036042
Guinea,11.635332,82.141025,166,13.931653,89.411675,143,2.375636,8.266412
Congo (Kinshasa),6.199071,85.560677,167,7.722938,100.174901,138,1.565133,14.851918
St Kitts and Nevis,9.509054,95.308422,168,14.174561,132.396974,133,4.818742,38.298031
Martinique,4.470682,107.334695,169,4.651961,111.00773,137,0.184985,3.73326
Ethiopia,38.264176,116.101833,170,83.784582,545.95967,88,47.12388,441.967414
Azerbaijan,11.685448,128.42562,171,15.67489,149.466941,129,4.101709,21.399796
Cyprus,56.111471,134.750084,172,64.316984,178.171393,125,8.893109,45.575341
Mongolia,11.619962,135.440703,173,12.884619,156.11198,127,1.280547,21.008957
Iceland,-18.356368,142.715308,174,19.907889,493.813478,92,40.69763,375.272915
Bahrain*,35.108014,144.4161,175,104.191393,949.178959,75,71.820031,839.828417
Guadeloupe,16.356428,154.98794,176,16.475879,157.038805,126,0.138912,2.293546
Yemen,45.068715,189.17877,177,45.138742,193.148502,123,0.077666,4.071206
Croatia,-6.60587,200.384689,178,35.334319,619.628329,81,43.171612,430.971446
Haiti,18.058015,209.543889,179,100.816799,1025.349966,71,84.897778,836.574151
Curacao,35.228666,212.639077,180,40.381667,265.964204,117,5.4129,54.435509
Benin,18.223096,218.524303,181,18.623939,225.173127,121,0.410632,6.805403
Brunei,6.537648,224.51214,182,7.373759,261.861053,118,0.853601,39.734855
Suriname,39.016579,232.605716,183,44.43372,297.902709,110,5.87229,69.19153
Belize,24.303942,242.992528,184,25.757401,285.88125,112,1.507564,45.0777
Turks and Caicos Islands,22.552437,245.960066,185,23.189716,250.068533,119,0.657631,4.251596
Dominica,9.101121,266.045469,186,9.174459,267.754732,116,0.077439,1.755437
Cuba,28.788108,268.887623,187,29.385966,271.066024,115,0.601484,2.209913
Aruba,39.106209,353.737885,188,41.426567,369.065419,104,2.3537,15.531618
Antigua and Barbuda,37.631548,353.924165,189,38.263749,361.777772,105,0.646391,8.069418
Sint Maarten,26.772935,372.833979,190,33.248,457.59418,96,6.486742,85.002062
Togo,27.177253,376.381488,191,28.964959,385.70381,102,1.867363,9.78694
Barbados,35.12377,378.473464,192,39.272213,412.116999,97,4.303975,34.919369
Oman*,75.102977,408.362136,193,173.7788,1312.385631,65,104.776905,962.556214
Guyana,57.837187,414.449031,194,64.912095,515.555568,90,7.562196,107.442903
Macau,8.040157,426.148858,195,15.541248,507.097114,91,7.69726,82.12345
Uzbekistan,8.435791,433.498124,196,8.980453,464.181834,94,0.583163,31.226794
Bermuda,35.895135,447.417765,197,36.965191,463.893691,95,1.09654,16.959391
Honduras**,6.074849,471.785961,198,418.196553,4122.257867,43,430.010474,3837.498043
British Virgin Islands,32.95438,477.74743,199,33.097737,480.716068,93,0.148261,3.115036
Georgia,84.607537,479.407739,200,89.821178,595.313169,85,5.371343,120.57588
Afghanistan,51.838717,505.492036,201,52.781012,537.539344,89,0.997763,33.586942
French Guiana,0.428896,557.650274,202,0.442822,557.966603,86,0,0.325302
French Polynesia,10.775044,569.645652,203,13.707294,595.799846,84,3.340475,29.884589
St Lucia,16.958092,591.364423,204,17.737198,601.326611,82,0.807407,10.279713
El Salvador**,73.568655,645.559268,205,276.402472,2498.742805,50,209.348133,1908.813453
Costa Rica**,-5.774461,662.741857,206,421.328338,4500.281138,38,449.57159,4038.904027
Lebanon,128.517402,717.606163,207,139.785085,834.917598,77,11.564182,120.013235
Ukraine,154.254591,808.398892,208,238.064745,1809.79696,58,86.976203,1048.496012
Cayman Islands,209.534458,860.095051,209,209.953163,890.377669,76,0.466677,30.727517
Uruguay,161.594043,862.979858,210,199.946263,1256.545338,67,40.074115,411.599535
Luxembourg,72.880945,873.88066,211,108.220069,1337.599322,64,36.350823,482.308796
Kuwait,271.942998,1213.582996,212,279.734974,2391.81496,52,7.847309,1199.408906
Gibraltar,186.251932,1230.498802,213,187.315764,1242.594103,69,1.114896,12.191556
Paraguay,120.313362,1487.618163,214,139.084138,1603.898866,60,20.968091,125.241907
Morocco*,163.35742,1587.357188,215,272.895293,2805.670948,49,113.45011,1265.615605
Jamaica,170.712531,1632.060522,216,206.687663,1928.438203,57,37.560694,308.277431
Egypt,63.173469,1814.431014,217,354.285035,4304.368454,41,306.001342,2602.565896
Guatemala*,277.101624,1959.203197,218,581.814362,5002.532451,36,329.953213,3283.404414
Bahamas,207.081104,2121.567777,219,218.695684,2405.711312,51,11.923894,295.928339
Argentina,250.088039,2624.513108,220,568.344613,6398.362152,33,330.911096,3923.766886
Qatar,576.798259,2631.323105,221,645.266259,4031.694604,45,71.484761,1443.990338
Dominican Republic**,255.086498,2736.336027,222,725.949934,6909.359764,30,482.121859,4288.278786
Peru*,313.741953,2857.555504,223,856.237663,7173.021795,29,575.722652,4579.198154
Singapore*,605.291605,3167.632541,224,2672.339876,23413.89354,14,2089.598854,20466.40626
Chile*,545.237693,3412.011168,225,1411.733944,11613.52353,20,932.727573,8817.993427
United Kingdom,826.871936,4371.461594,226,5844.137708,51152.34768,5,5105.254112,47577.55682
Panama*,587.786957,5223.925668,227,621.631954,5558.063337,35,34.946318,346.166485
Brazil,1075.020456,8181.720334,228,3525.948359,31645.69,9,2551.866606,24389.77342
Australia*,1279.512749,10266.7556,229,2092.428623,18488.97801,16,833.571332,8416.456634
Belgium,983.977036,11326.83862,230,2410.05918,26454.33818,11,1463.641771,15531.38383
United Arab Emirates,1456.213248,11335.40282,231,1942.732351,14780.34934,18,510.868954,3615.406492
Netherlands,940.723596,15542.77073,232,3948.869904,37745.66552,8,3089.535114,23054.67252
Hong Kong,2530.869214,20266.11782,233,3071.982226,23700.33024,13,549.276003,3510.672332
"Korea, North",0,0,0,0,0,0,0,0
Africa,-437.099491,-3577.973606,0,1985.49263,20027.31653,0,2505.413532,24423.58392
APEC,-57876.68344,-502601.8243,0,81637.6928,746537.6911,0,143508.1169,1285043.77
ASEAN,-10786.53642,-88262.27623,0,7128.381656,63933.90302,0,18525.73986,157295.8243
Asia - South,-2592.79529,-24130.76281,0,3145.164167,30020.30609,0,5957.173031,56272.4134
Asia Near East,1877.832413,7100.412115,0,5951.260916,47817.05617,0,4192.223324,41866.44786
CAFTA-DR,400.700209,4830.256005,0,2556.009615,24287.75359,0,2248.070069,20338.76003
Central American Common Market,145.613711,2093.919978,0,1830.059681,17378.39383,0,1765.94821,16050.48125
Euro Area,-12405.88264,-118784.9942,0,20395.4098,185492.889,0,33442.99094,310700.1022
Europe,-17627.43924,-164347.2432,0,31246.10233,285849.702,0,49907.45456,460422.4983
European Union,-13696.51428,-133018.7121,0,27769.77749,251602.8608,0,42305.91403,392923.5313
LAFTA,-6255.078844,-58495.11723,0,29042.72244,270354.4365,0,35835.84468,334024.3754
NATO Allies,-10591.47476,-99579.18364,0,51469.56365,467437.852,0,63472.32372,580599.9721
North America,-11420.12985,-93104.09084,0,45007.37614,415771.5398,0,57271.54318,516829.5908
OECD,-32730.28687,-306688.9952,0,90144.3414,830194.0615,0,125232.1361,1159772.681
OPEC,1098.322758,1474.536889,0,4580.586153,37846.58299,0,3612.068119,37749.74174
Pacific Rim Countries,-39066.87948,-347938.714,0,32107.91508,290275.898,0,73809.31713,661713.6139
South/Central America,4752.003438,37961.878,0,13107.97466,120928.7684,0,8753.008139,86870.31293
Twenty Latin American Republics,-5219.745555,-47962.50404,0,32350.56678,301496.6694,0,38204.36033,355548.086
