reporter_name,partner_name,year,trade_flow,no-of_imported_HS6_digit_products,import_share_in_total_products_percent,import_us_dollars_thousand,import_partner_share,ahs_simple_average,ahs_weighted_average_percent,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_percent,ahs_duty_free_tariff_lines_share_percent,ahs_specific_tariff_lines_share_percent,ahs_ave_tariff_lines_share_percent,ahs_maxrate_percent,ahs_minrate_percent,ahs_specific_duty_imports_us_dollars_thousand,ahs_dutiable_imports_us_dollars_thousand,ahs_duty_free_imports_us_dollars_thousand,mfn_simple_average_percent,mfn_weighted_average_percent,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_percent,mfn_duty_free_tariff_lines_share_percent,mfn_specific_tariff_lines_share_percent,mfn_ave_tariff_lines_share_percent,mfn_max_rate_percent,mfn_minrate_percent,mfn_specific_duty_imports_us_dollars_thousand,mfn_dutiable_imports_us_dollars_thousand,mfn_duty_free_imports_us_dollars_thousand,no_of_tariff_agreement
 World,Pitcairn,2017,Import,182,3.77,1679.37,0,6.8,15.41,560,42.86,54.11,0,3.04,274.5,0,0,340.2,354.83,9.18,6.91,36993,68.65,27.63,20.54,224.64,3000,0,80.12,695.02,0,10
 World,Peru,2017,Import,3778,78.27,45465723.88,0.28,1.8,2.32,55751,17.68,78.91,0.2,3.22,2938.97,0,1808987.95,34089750.86,9056347.84,9.17,6.37,744371,70.29,25.8,5.71,46.46,3000,0,5169625.77,41482095.76,1664002.94,53
 World,Philippines,2017,Import,3769,78.08,81789868.22,0.51,3.26,3.07,77846,30.33,65.49,0.35,3.83,3000,0,1316034.71,53654976.55,4099721.62,9.28,6.11,734150,70.29,25.71,4.08,33.67,3000,0,12629985.03,57737337.36,17360.81,43
 World,Palau,2017,Import,128,2.65,23551.94,0,4.55,6.36,589,41.77,57.05,0.51,0.68,40,0,29.83,22021.94,888.61,10.77,7.69,33523,65.76,31.16,19.02,156.37,3000,0,1822.19,22897.67,12.88,7
 World,Papua New Guinea,2017,Import,1017,21.07,9490426.93,0.06,2.5,3.72,5570,15.91,83.38,0.05,0.66,2278.56,0,605466.08,6691723.87,536672.31,9.81,5.15,248408,68.89,27.41,28.04,136.68,3000,0,784702.23,7039909.18,188487,19
 World,Poland,2017,Import,4557,94.41,212332751,1.32,4.97,9.3,174746,43.03,53.12,0.45,3.4,3000,0,6543913.85,40839087.67,904365.76,9.26,12.59,790709,70.22,25.74,2.01,16.27,3000,0,10844207.59,41655188.34,88265.09,49
 World,"Korea, Dem. Rep.",2017,Import,1769,36.65,1910344.33,0.01,8.54,7.21,9979,62.47,35.75,0.32,1.46,3000,0,1658.22,90240.7,10843.96,8.47,6.52,262644,70.27,26.78,12.15,65.56,3000,0,11993.95,100392.83,691.83,19
 World,Portugal,2017,Import,4555,94.36,55534360.19,0.34,6.47,6.87,120006,44.5,52.03,0.3,3.17,3000,0,1399397.95,12323270.2,1805625.92,9.69,10.82,721732,70.71,25.01,2.76,23,3000,0,2872528.35,12831844.89,1297051.23,48
 World,Paraguay,2017,Import,2053,42.53,6401899.48,0.04,2.03,32.77,16874,15.73,76.99,0.72,6.55,3000,0,157087.55,5853596.95,679580.44,9.52,17.52,476895,69.81,25.95,12.5,107.25,3000,0,917698.53,6531858.6,1318.78,64
 World,Occ.Pal.Terr,2017,Import,413,8.56,99256.2,0,3.76,2.18,1855,22.91,70.3,0.05,6.74,611.5,0,29.5,39552.33,51093.29,11.78,12.31,91111,70.76,22.2,26.52,319.35,3000,0,20972.56,90614.66,30.97,25
 World,French Polynesia,2017,Import,897,18.58,194072.34,0,1.95,4.06,5479,10.44,86.51,0.33,2.72,2938.97,0,926.55,167351.24,15630.37,9.54,10.34,215004,68.35,27.5,21.99,140.81,3000,0,7617.65,182893.93,87.68,5
 World,Qatar,2017,Import,2503,51.85,57789074.93,0.36,5.52,1.39,20741,56.3,38.58,0.6,4.52,800.3,0,137600.75,42069406.15,6773139.72,9.35,3.35,504871,69.86,26.24,10.82,84.05,3000,0,14661660.7,42488375.63,6354170.25,31
 World,Romania,2017,Import,4492,93.06,70648924.16,0.44,4.06,6.18,87908,37.63,59.49,0.19,2.69,3000,0,957892.38,14422354.46,1395061,9.3,9.75,623123,70.57,25.4,3.08,25.5,3000,0,3168445.63,15387421.67,429993.78,59
 World,Russian Federation,2017,Import,4494,93.1,338775372.5,2.1,3.38,2.39,132782,41.63,55.16,0.24,2.96,3000,0,106627954.9,264150495.1,50922026.94,9.16,4.96,862102,69.94,26.07,2.83,23.09,3000,0,125028431.1,266794600.9,48277921.12,13
 World,Rwanda,2017,Import,918,19.02,240849.99,0,3.83,6.07,2351,34.54,64.65,0.13,0.68,754.3,0,2178.27,83924.48,44295.4,10.86,11.6,96919,67.79,27.83,27.26,153.3,3000,0,8971.31,128219.88,0,35
 World,South Asia,2017,Import,4591,95.11,307522963.6,1.91,5.2,7.11,482228,55.26,41.2,0.27,3.27,3000,0,35774298.88,282509065.7,23096068.87,9.04,10.63,872035,69.95,26.18,0.78,6.21,3000,0,51823925.8,285252669.2,20352465.31,288
 World,Saudi Arabia,2017,Import,3576,74.08,189426135.9,1.17,4.61,1.4,39621,46.95,48.86,0.46,3.73,3000,0,104700371.3,135669450.8,12577499.67,9.34,3.46,692874,70.06,25.81,7.53,64.75,3000,0,107123373.5,137762835.4,10484115.01,35
 World,Senegal,2017,Import,2737,56.7,2881644,0.02,1.99,2.02,15516,33.31,65.42,0.1,1.17,3000,0,1088.99,1095716.93,483706.62,9.5,7.31,540824,70.09,25.88,15.47,124.86,3000,0,95724.62,1567425.97,11997.58,41
 World,"Serbia, FR(Serbia/Montenegro)",2017,Import,3952,81.87,18064994.32,0.11,6.18,19.32,61988,63.03,26.54,0.64,9.79,3000,0,1872566.84,14936478.41,1783521.4,9.29,16.86,762879,70.04,25.88,5.33,44.88,3000,0,5974402.78,16536731.92,183267.88,
 World,Singapore,2017,Import,4392,90.99,211980793.1,1.31,3.88,2.78,119393,31.75,66.26,0.21,1.78,3000,0,12966089.83,115874160.5,29284995.34,9.1,5.26,822529,70.12,25.96,2.98,24.01,3000,0,28646598.14,123073581.5,22085574.29,54
 World,South Georgia and the South Sa,2017,Import,33,0.68,167.16,0,2.76,1.49,175,27.43,68.57,4,0,15,0,0.6,11.2,64.98,7.82,6.18,7813,63.36,32.84,28.57,141.14,3000,0,5.59,76.18,0,5
 World,Saint Helena,2017,Import,306,6.34,28169.65,0,5.2,1.18,1359,32.67,66.15,0.52,0.66,48,0,39.24,17725.12,5259.5,7.56,9.77,61383,65.89,32.2,19.79,66.74,2133.13,0,3518.74,22984.61,0,17
 World,Solomon Islands,2017,Import,301,6.24,790817.95,0,4.44,3.23,1252,31.39,68.29,0.24,0.08,3000,0,4.82,227860,8892.97,10.91,8.64,76947,68.2,27.88,38.02,202.88,3000,0,1541.62,236729.7,23.27,31
 World,Sierra Leone,2017,Import,1358,28.13,878373.67,0.01,2.36,1.32,8061,34.87,64.67,0.1,0.36,274.5,0,312.59,344818.44,138837.6,9.5,6.18,241724,69.39,26.85,13.01,99.63,3000,0,26004.31,483656.02,0.02,38
